station,line,date,total
마석,경춘선,2024-05-03,12195.0
마장,5호선,2024-03-28,14776.0
마천,5호선,2024-03-28,19477.0
마포,5호선,2024-10-05,56329.0
마포구청,6호선,2024-03-21,36306.0
망우,중앙선,2024-03-28,19188.0
망원,6호선,2025-04-11,42462.0
망월사,경원선,2024-05-27,24491.0
망포,분당선,2024-11-28,43708.0
매교,분당선,2024-11-09,14436.0
매봉,3호선,2025-04-11,37228.0
매탄권선,분당선,2024-11-28,16221.0
먹골,7호선,2024-05-18,26922.0
면목,7호선,2024-03-28,39579.0
명동,4호선,2024-12-25,131868.0
명일,5호선,2024-03-28,22532.0
명학,경부선,2024-03-05,24024.0
모란,분당선,2024-04-19,62507.0
목동,5호선,2024-03-28,43452.0
몽촌토성(평화의문),8호선,2024-11-03,23374.0
무악재,3호선,2024-03-28,12087.0
문래,2호선,2024-12-06,57636.0
문산,경의선,2024-11-23,18056.0
문정,8호선,2024-11-27,58861.0
미금,분당선,2024-11-27,38958.0
미사,5호선,2024-05-14,45171.0
미아(서울사이버대학),4호선,2024-03-28,43643.0
미아사거리,4호선,2024-03-28,72561.0
반월,안산선,2024-11-28,11377.0
반포,7호선,2025-04-16,15518.0
발산,5호선,2024-11-27,56867.0
방배,2호선,2025-03-11,47930.0
방이,5호선,2024-03-28,19015.0
방학,경원선,2024-03-28,26213.0
방화,5호선,2024-09-27,20251.0
배방,장항선,2025-04-26,4407.0
백마,경의선,2024-03-15,18643.0
백석,일산선,2025-04-25,25694.0
백양리,경춘선,2024-01-20,1019.0
백운,경인선,2024-05-10,17957.0
버티고개,6호선,2025-01-04,13107.0
범계,과천선,2024-11-28,72416.0
별내,경춘선,2024-03-28,8246.0
병점,경부선,2024-04-09,41664.0
보라매,7호선,2024-05-14,16767.0
보라매공원,신림선,2025-05-15,6980.0
보라매병원,신림선,2024-11-27,21118.0
보문,6호선,2024-03-28,20363.0
보산,경원선,2024-10-26,6310.0
보정,분당선,2024-11-28,7398.0
복정,8호선,2024-11-27,23467.0
봉명,장항선,2025-05-14,4033.0
봉은사,9호선2~3단계,2025-04-05,69352.0
봉천,2호선,2024-03-28,56902.0
봉화산(서울의료원),6호선,2024-03-28,21229.0
부개,경인선,2024-05-10,20290.0
부발,경강선,2024-11-15,6165.0
부천,경인선,2024-05-24,74934.0
부천종합운동장,서해선,2025-04-25,6497.0
부평,경인선,2024-09-28,72727.0
부평구청,7호선,2024-05-17,1.0
북한산보국문,우이신설선,2024-03-28,19584.0
북한산우이,우이신설선,2024-05-15,14201.0
불광,3호선,2024-03-28,42467.0
불암산,4호선,2025-04-30,21347.0
사가정,7호선,2024-03-28,39663.0
사당,2호선,2024-12-20,114271.0
사릉,경춘선,2024-05-10,5721.0
사리,수인선,2024-11-28,13636.0
사평,9호선,2024-12-12,10676.0
산본,안산선,2024-11-28,46297.0
산성,8호선,2024-11-27,17047.0
삼각지,6호선,2024-10-05,19386.0
삼각지(전쟁기념관),6호선,2025-04-26,20138.0
삼동,경강선,2024-11-27,7892.0
삼성(무역센터),2호선,2024-07-04,144185.0
삼성중앙,9호선2~3단계,2024-11-27,20580.0
삼송,일산선,2025-04-11,46027.0
삼양,우이신설선,2025-03-28,5824.0
삼양사거리,우이신설선,2024-03-28,7853.0
삼전,9호선2~3단계,2024-03-28,20431.0
상갈,분당선,2024-11-28,14163.0
상계,4호선,2025-04-25,47092.0
상도,7호선,2024-03-28,34601.0
상동,7호선,2024-09-02,1.0
상록수,안산선,2024-11-28,38893.0
상봉,7호선,2024-12-20,41882.0
상봉(시외버스터미널),7호선,2024-01-12,38212.0
상수,6호선,2025-05-16,29903.0
상왕십리,2호선,2024-03-28,35181.0
상월곡(한국과학기술연구원),6호선,2024-03-28,17955.0
상일동,5호선,2024-11-27,35688.0
상천,경춘선,2024-04-14,1853.0
새절(신사),6호선,2024-03-28,35507.0
샛강,9호선,2024-12-14,46658.0
서강대,경의선,2024-05-17,6009.0
서대문,5호선,2024-03-28,54499.0
서동탄,경부선,2024-05-10,3706.0
서빙고,경원선,2024-12-25,8719.0
서울대벤처타운,신림선,2024-03-28,27783.0
서울대입구(관악구청),2호선,2025-03-21,109551.0
서울숲,분당선,2024-04-06,59993.0
서울역,1호선,2025-04-25,183131.0
서울지방병무청,신림선,2024-03-28,9532.0
서원,신림선,2024-03-28,8565.0
서정리,경부선,2024-11-28,22902.0
서초,2호선,2024-10-22,56698.0
서현,분당선,2024-07-19,60888.0
석계,6호선,2024-05-24,30724.0
석수,경부선,2024-04-09,20749.0
석촌,8호선,2025-04-11,30341.0
석촌고분,9호선2~3단계,2024-03-28,19081.0
선릉,2호선,2024-11-27,131255.0
선바위,과천선,2025-03-25,19700.0
선유도,9호선,2024-03-28,22330.0
선정릉,9호선2~3단계,2024-12-10,26328.0
성균관대,경부선,2024-11-28,42341.0
성남,경강선,2024-03-30,4058.0
성수,2호선,2024-12-24,126433.0
성신여대입구(돈암),4호선,2024-03-28,58906.0
성환,경부선,2024-04-24,16819.0
세류,경부선,2024-04-27,12633.0
세마,경부선,2024-11-28,8630.0
세종대왕릉,경강선,2024-05-04,1253.0
소래포구,수인선,2024-09-28,27360.0
소사,경인선,2024-04-09,18284.0
소요산,경원선,2024-10-26,13395.0
솔밭공원,우이신설선,2024-03-28,6452.0
솔샘,우이신설선,2025-05-14,14673.0
송내,경인선,2024-05-14,63477.0
송도,수인선,2024-10-11,6300.0
송정,5호선,2024-12-20,14854.0
송탄,경부선,2025-05-11,13199.0
송파,8호선,2024-11-27,24952.0
송파나루,9호선2~3단계,2025-04-11,15732.0
수내,분당선,2024-11-27,35204.0
수락산,7호선,2024-12-20,29080.0
수리산,안산선,2024-04-21,24377.0
수색,경의선,2024-03-28,10139.0
수서,3호선,2024-12-06,46751.0
수원,경부선,2025-05-17,118919.0
수원시청,분당선,2024-11-27,38043.0
수유(강북구청),4호선,2024-03-28,86742.0
수진,8호선,2024-11-27,14111.0
숙대입구(갈월),4호선,2024-03-28,41175.0
숭실대입구(살피재),7호선,2024-03-28,45214.0
숭의,수인선,2025-05-14,10263.0
시청,1호선,2025-03-01,113193.0
신갈,분당선,2024-11-18,13225.0
신금호,5호선,2024-03-28,16160.0
신길,경부선,2024-12-14,66251.0
신길온천,안산선,2024-11-27,5421.0
신내,경춘선,2024-03-28,7022.0
신논현,9호선,2024-12-20,83166.0
신답,2호선,2024-03-28,4931.0
신당,2호선,2024-12-20,38015.0
신대방,2호선,2024-03-28,61065.0
신대방삼거리,7호선,2024-03-28,37725.0
신도림,2호선,2024-12-20,121746.0
신둔도예촌,경강선,2025-04-25,3892.0
신림,2호선,2025-04-11,126904.0
신목동,9호선,2025-04-11,11248.0
신반포,9호선,2025-04-11,11293.0
신방화,9호선,2024-03-28,17002.0
신사,3호선,2024-12-20,72108.0
신설동,1호선,2024-03-28,37009.0
신용산,4호선,2024-10-05,54742.0
신원,중앙선,2025-04-26,881.0
신이문,경원선,2024-03-28,20172.0
신정(은행정),5호선,2024-03-28,30177.0
신정네거리,2호선,2024-03-28,27765.0
신중동,7호선,2024-06-28,1.0
신창(순천향대),장항선,2024-05-09,7597.0
신촌,2호선,2024-03-28,100252.0
신포,수인선,2024-04-12,4973.0
신풍,7호선,2024-03-28,27641.0
신흥,8호선,2024-11-28,14036.0
쌍문,4호선,2024-03-28,68731.0
쌍용(나사렛대),장항선,2024-05-14,8470.0
아산,장항선,2024-05-03,11953.0
아신,중앙선,2024-09-29,1966.0
아차산(어린이대공원후문),5호선,2025-04-11,38678.0
아현,2호선,2024-03-28,27394.0
안국,3호선,2025-03-15,91242.0
안산,안산선,2024-09-15,33995.0
안암(고대병원앞),6호선,2024-05-23,42320.0
안양,경부선,2025-04-30,62566.0
암사,8호선,2024-04-25,42050.0
암사역사공원,8호선,2024-10-11,15761.0
압구정,3호선,2024-12-20,82596.0
압구정로데오,분당선,2024-02-23,53416.0
애오개,5호선,2025-01-18,50637.0
야당,경의선,2024-09-28,25456.0
야목,수인선,2025-05-07,1249.0
야탑,분당선,2024-11-27,66089.0
약수,3호선,2024-03-28,31107.0
양수,중앙선,2024-07-13,6970.0
양원,중앙선,2024-03-28,8034.0
양재(서초구청),3호선,2024-03-28,99222.0
양정,중앙선,2024-05-31,1605.0
양주,경원선,2024-10-08,20144.0
양천구청,2호선,2024-03-28,19377.0
양천향교,9호선,2025-05-16,25723.0
양평,5호선,2025-04-11,20410.0
어린이대공원(세종대),7호선,2025-05-14,53898.0
어천,수인선,2025-04-07,3901.0
언주,9호선2~3단계,2024-11-27,29481.0
여의나루,5호선,2024-04-06,109491.0
여의도,5호선,2024-12-14,149125.0
여주,경강선,2025-05-04,9344.0
역곡,경인선,2024-04-09,66180.0
역삼,2호선,2024-11-27,137386.0
역촌,6호선,2024-03-28,10962.0
연수,수인선,2024-06-05,12019.0
연신내,3호선,2025-04-25,85599.0
연천,경원선,2024-10-09,5792.0
염창,9호선,2024-05-10,41894.0
영등포,경부선,2024-12-14,139214.0
영등포구청,2호선,2025-04-30,55577.0
영등포시장,5호선,2024-12-14,35299.0
영종,공항철도 1호선,2025-05-13,11064.0
영통,분당선,2024-11-27,24328.0
오금,3호선,2024-10-08,15087.0
오류동,경인선,2024-03-28,28246.0
오리,분당선,2024-11-28,27850.0
오목교(목동운동장앞),5호선,2025-04-11,55335.0
오목천,수인선,2024-11-27,13418.0
오빈,중앙선,2024-05-25,853.0
오산,경부선,2024-05-03,26462.0
오산대,경부선,2024-04-30,10308.0
오이도,안산선,2024-05-14,20524.0
옥수,3호선,2024-03-28,22187.0
온수(성공회대입구),7호선,2025-04-30,24819.0
온양온천,장항선,2025-04-26,19548.0
올림픽공원(한국체대),9호선2~3단계,2024-11-02,44669.0
왕십리(성동구청),경원선,2024-03-15,42177.0
외대앞,경원선,2024-05-09,31306.0
용답,2호선,2024-03-28,7882.0
용두(동대문구청),2호선,2024-03-28,7315.0
용마산(용마폭포공원),7호선,2024-06-12,14554.0
용문,중앙선,2025-04-25,13226.0
용산,경부선,2024-10-05,142843.0
우장산,5호선,2024-03-28,35902.0
운길산,중앙선,2024-10-09,4579.0
운서,공항철도 1호선,2024-05-24,23734.0
운정,경의선,2024-10-11,19941.0
운천,경의선,2025-03-22,31.0
원당,일산선,2025-04-11,27495.0
원덕,중앙선,2025-03-29,1596.0
원인재,수인선,2024-05-14,11778.0
원종,서해선,2025-04-25,12204.0
원흥,일산선,2024-05-10,27980.0
월계,경원선,2024-03-28,20718.0
월곡(동덕여대),6호선,2024-03-28,32972.0
월곶,수인선,2025-04-30,7660.0
월드컵경기장(성산),6호선,2024-10-20,101051.0
월롱,경의선,2024-04-30,5519.0
을지로3가,2호선,2025-04-25,63957.0
을지로4가,2호선,2025-03-28,37781.0
을지로입구,2호선,2024-12-24,134918.0
응봉,경원선,2024-03-30,7346.0
응암,6호선,2025-04-11,46309.0
의왕,경부선,2024-11-28,28712.0
의정부,경원선,2024-05-03,46346.0
이대,2호선,2024-03-28,51365.0
이매,분당선,2024-05-23,15159.0
이수,7호선,2024-12-20,40653.0
이천,경강선,2024-10-19,8157.0
이촌(국립중앙박물관),4호선,2024-10-05,49323.0
이태원,6호선,2025-01-04,42003.0
인덕원,과천선,2024-11-28,69819.0
인천,경인선,2025-05-04,18153.0
인천공항1터미널,공항철도 1호선,2024-11-28,35807.0
인천공항2터미널,공항철도 1호선,2025-03-07,18286.0
인천논현,수인선,2024-05-10,14970.0
